EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha,Deforestation_emissions_incl_peat_MtCO2,Deforestation_emissions_excl_peat_MtCO2
CY,i01.d,2005,25.6624736497739,-0.00337058276314785,-0.00337058276314785
CY,i01.d,2006,21.4308260462914,-0.0027380532280552,-0.0027380532280552
CY,i01.d,2007,18.6624166219045,-0.00230680002479439,-0.00230680002479439
CY,i01.d,2008,13.7679071275747,-0.00164098994512952,-0.00164098994512952
CY,i01.d,2009,0.0612354529705941,-1.47736929283603e-06,-1.47736929283603e-06
CY,i01.d,2010,0.0612354529705941,-1.47736929283603e-06,-1.47736929283603e-06
CY,i01.d,2011,0.0612354529705941,-1.47736929283603e-06,-1.47736929283603e-06
CY,i01.d,2012,0.0612354529705941,-1.47736929283603e-06,-1.47736929283603e-06
CY,i01.d,2013,0.869224846431034,0.0001000493204261,0.0001000493204261
CY,i01.d,2014,4.09617802618359,0.000128368745130062,0.000128368745130062
CY,i01.d,2015,5.37983876506556,0.000126895979750576,0.000126895979750576
CY,i01.d,2016,106.60500511299,-0.00913666581960424,-0.00913666581960424
CY,i01.d,2017,145.555047477868,-0.00979910338898558,-0.00979910338898558
CY,i01.d,2018,147.067861123707,-0.00989965173721406,-0.00989965173721406
CY,i01.e,2013,0,1.46097521841787e-05,1.46097521841787e-05
CY,i01.e,2014,0.0698225045080631,2.03168582735862e-05,2.03168582735862e-05
CY,i01.e,2015,0.108807097095886,3.1890140820836e-05,3.1890140820836e-05
CY,i01.e,2016,0.108807097095886,3.1890140820836e-05,3.1890140820836e-05
CY,i01.e,2017,0.108807097095886,3.1890140820836e-05,3.1890140820836e-05
CY,i01.e,2018,0.0633604782863933,1.86609889697288e-05,1.86609889697288e-05
CY,i01.i,2005,5.48423280193271,0.00136322897195411,0.00136322897195411
CY,i01.i,2006,10.5998335097873,0.00262668866492197,0.00262668866492197
CY,i01.i,2007,135.309684123681,0.0354005959770584,0.0354005959770584
CY,i01.i,2008,141.110937746015,0.0368358245481397,0.0368358245481397
CY,i01.i,2009,146.902899183965,0.0383132324367964,0.0383132324367964
CY,i01.i,2010,142.859606589562,0.0373064306029129,0.0373064306029129
CY,i01.i,2011,145.577810917499,0.0380200995241496,0.0380200995241496
